INVOICE NO.,DELIVERY DATE,MARK & NOS,CUSTOMER NAME,TERMS OF PAYMENT,TERMS OF DELIVERY,CARTON NO.,P/O NO.,P/O LINE,CUSTOMER PARTS NO.,KOA ITEM CODE,QTY
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3305,1180200568STD,11,KOA+RK73B1JTTD 181G,RK73B1JTTD181G,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3304,1180200568STD,21,KOA+RK73H2ATTD 1372F,RK73H2ATTD1372F,40000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3305,1180200859STD,31,KOA+RK73H1JTTD 1501F,RK73H1JTTD1501F,5000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3311,1180200859STD,61,KOA+RK73H1JTTD 2202F,RK73H1JTTD2202F,5000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3305,1180200859STD,101,KOA+RK73H1JTTD 3902F,RK73H1JTTD3902F,5000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3309,1180200890STD,81,KOA+RK73H1JTTD 3301F,RK73H1JTTD3301F,5000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3305,1180200952STD,11,KOA+RK73B1JTTD 470J,RK73B1JTTD470J,5000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3304,1180200962STD,21,KOA+RK73B2BTTD 334J,RK73B2BTTD334J,5000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3308,1180201218STD,21,KOA+RK73H1JTTD 1002F,RK73H1JTTD1002F,5000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3304,1180201327STD,31,KOA+RK73H2ATTD 1002F,RK73H2ATTD1002F,70000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3304,1180201327STD,41,KOA+RK73H2ATTD 1004F,RK73H2ATTD1004F,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3304,1180201327STD,51,KOA+RK73H2ATTD 1503F,RK73H2ATTD1503F,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3304,1180201328STD,11,KOA+RK73H2ATTD 1802F,RK73H2ATTD1802F,15000
04958058-W-01,2026/05/27,"WEL-B01
HONG KONG
C/NO:H3304,H3305,H3306,H3308,H3309,
H3311
MADE IN CHINA
N/S:04958058-W-01",WELTRONICS COMPONENT LTD,75 DAYS AFTER MONTHLY STATEMENT,CIF HONG KONG,H3304,1180201328STD,21,KOA+RK73H2ATTD 2001F,RK73H2ATTD2001F,15000
