--------- beginning of kernel
--------- beginning of system
--------- beginning of main
12-09 20:04:17.014 10841 10841 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
--------- beginning of kernel
--------- beginning of system
--------- beginning of main
--------- beginning of kernel
--------- beginning of system
--------- beginning of main
12-09 20:19:26.568 11445 11445 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
12-09 20:19:57.441 11569 11569 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
--------- beginning of system
--------- beginning of kernel
--------- beginning of main
12-09 20:19:26.568 11445 11445 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
12-09 20:19:57.441 11569 11569 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
--------- beginning of system
--------- beginning of kernel
--------- beginning of main
12-09 20:19:26.568 11445 11445 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
12-09 20:19:57.441 11569 11569 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
12-09 20:22:28.868 11827 11827 I ScannerBroadcast: receiver registered for com.wclsolution.docpal.action.BARCODE_SCANNED
12-09 20:22:50.839 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@2d8c78e, DecodeNum=52, symName=QRCode, barocode=[B@8ee6baf, com.ubx.datawedge.symbology_name=QRCode, decodeTime=39, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@aad5bbc, barcode=[B@d2b8745, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=39, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:50.847 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@dc013cb, DecodeNum=52, symName=QRCode, barocode=[B@ad277a8, com.ubx.datawedge.symbology_name=QRCode, decodeTime=39, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@252c1, barcode=[B@87a3a66, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=39, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:54.590 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@5ab6654, DecodeNum=53, symName=QRCode, barocode=[B@c2059fd, com.ubx.datawedge.symbology_name=QRCode, decodeTime=71, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@bdf96f2, barcode=[B@f5d3143, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=71, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:54.594 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@31d98f9, DecodeNum=53, symName=QRCode, barocode=[B@1cc303e, com.ubx.datawedge.symbology_name=QRCode, decodeTime=71, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@8979e9f, barcode=[B@8dd2bec, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0005, barcode_string=BOX-H-20260701-0005, com.ubx.datawedge.data_dispatch_time=71, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:56.290 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@657124a, DecodeNum=54, symName=QRCode, barocode=[B@9e185bb, com.ubx.datawedge.symbology_name=QRCode, decodeTime=45, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@5671ad8, barcode=[B@2246e31, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0006, barcode_string=BOX-H-20260701-0006, com.ubx.datawedge.data_dispatch_time=45, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:56.294 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@c18c297, DecodeNum=54, symName=QRCode, barocode=[B@99f0c84, com.ubx.datawedge.symbology_name=QRCode, decodeTime=45, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@a0bc6d, barcode=[B@727a0a2, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0006, barcode_string=BOX-H-20260701-0006, com.ubx.datawedge.data_dispatch_time=45, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:57.305 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@4426cf0, DecodeNum=55, symName=QRCode, barocode=[B@f19b269, com.ubx.datawedge.symbology_name=QRCode, decodeTime=78, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@88324ee, barcode=[B@32b6d8f, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0007, barcode_string=BOX-H-20260701-0007, com.ubx.datawedge.data_dispatch_time=78, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:57.314 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@3120c25, DecodeNum=55, symName=QRCode, barocode=[B@800a1fa, com.ubx.datawedge.symbology_name=QRCode, decodeTime=78, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@afb53ab, barcode=[B@1c2ea08, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0007, barcode_string=BOX-H-20260701-0007, com.ubx.datawedge.data_dispatch_time=78, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:57.833 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@6a6e3c6, DecodeNum=56, symName=QRCode, barocode=[B@f997f87, com.ubx.datawedge.symbology_name=QRCode, decodeTime=79, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@2a09eb4, barcode=[B@1f69add, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0007, barcode_string=BOX-H-20260701-0007, com.ubx.datawedge.data_dispatch_time=79, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:57.839 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@5048d23, DecodeNum=56, symName=QRCode, barocode=[B@202f220, com.ubx.datawedge.symbology_name=QRCode, decodeTime=79, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@5c707d9, barcode=[B@4f8a59e, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0007, barcode_string=BOX-H-20260701-0007, com.ubx.datawedge.data_dispatch_time=79, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
12-09 20:22:58.264 11827 11827 I ScannerBroadcast: scan broadcast without barcode extra, extras: ScanOverlayButton=false, com.ubx.datawedge.data_raw=[B@b75104c, DecodeNum=57, symName=QRCode, barocode=[B@2974895, com.ubx.datawedge.symbology_name=QRCode, decodeTime=121, length=19, codetype=QRCode, com.ubx.datawedge.aimcode=[B@ac57daa, barcode=[B@ddc7d9b, com.ubx.datawedge.barcode_id=31, symbologyId=31, com.ubx.datawedge.data_string=BOX-H-20260701-0007, barcode_string=BOX-H-20260701-0007, com.ubx.datawedge.data_dispatch_time=121, com.ubx.datawedge.symbology_id=31, com.ubx.datawedge.data_raw_length=19, barcodeType=31
